restaurant_number,location,feedback,date_posted,Sentiment,Confidence
549-2324,"Richmond Hill, Canada","menu variety was top-notch, that deserves praise.",15-04-2022,POSITIVE,0.999578058719635
797-2763,"Vancouver, Canada","food quality was top-notch, that deserves praise.",14-10-2022,POSITIVE,0.9997196793556213
723-2814,"North York, Canada","I found the service to be amazing, which is worth mentioning.",04-01-2022,POSITIVE,0.9998233914375305
630-4892,"Barrie, Canada","The staff were welcoming, which puts a damper on the meal.",27-05-2021,POSITIVE,0.9935815334320068
507-8337,"Barrie, Canada","The food quality was amazing, really made my day!",26-04-2021,POSITIVE,0.9998860359191895
540-5297,"Richmond Hill, Canada","I found the menu variety to be impressive, which is disappointing to see.",04-09-2021,NEGATIVE,0.9945003986358643
906-5695,"Hamilton, Canada","The rib-eye steak was amazing, just like you'd expect at a good restaurant.",19-01-2021,POSITIVE,0.9998396635055542
156-8170,"Hamilton, Canada","I found the ambience to be amazing, which is something I value.",08-10-2021,POSITIVE,0.9998747110366821
890-2178,"Montreal, Canada",I felt that the menu variety could be more impressive.,02-04-2021,POSITIVE,0.9436776041984558
270-1282,"Hamilton, Canada","The food quality was amazing, really made my day!",23-04-2021,POSITIVE,0.9998860359191895
889-8960,"Richmond Hill, Canada","The atmosphere is impressive, it leaves a lot to be desired when you dine.",04-04-2022,NEGATIVE,0.740973174571991
854-9731,"Montreal, Canada","The vegan burger was mediocre, just like you'd expect at a good restaurant.",27-12-2021,NEGATIVE,0.9685850143432617
843-5295,"Toronto, Canada","A bit disappointed with the service, was expecting something more impressive.",02-10-2021,NEGATIVE,0.9524822235107422
518-5871,"Toronto, Canada",It's mediocre how the restaurant manages to retain a loyal clientele.,14-01-2022,NEGATIVE,0.9992170333862305
784-6418,"Hamilton, Canada","The food quality was impressive, really made my day!",17-04-2021,POSITIVE,0.9998786449432373
448-5276,"Hamilton, Canada","A bit disappointed with the menu variety, was expecting something more lacking.",03-10-2022,NEGATIVE,0.999742329120636
544-2577,"Vancouver, Canada","A bit disappointed with the food quality, was expecting something more impressive.",26-01-2021,NEGATIVE,0.9742956757545471
740-9245,"Toronto, Canada","Having outdoor seating is great, it is a unique touch.",20-08-2021,POSITIVE,0.9998788833618164
678-7914,"Hamilton, Canada","menu variety was top-notch, I would recommend to my friends.",07-05-2022,POSITIVE,0.999599277973175
293-8932,"Calgary, Canada","price was top-notch, I would recommend to my friends.",18-04-2021,POSITIVE,0.9997650980949402
847-5761,"Mississauga, Canada","price was top-notch, I would recommend to my friends.",03-10-2022,POSITIVE,0.9997650980949402
215-6369,"North York, Canada","I found the price to be disappointing, which is commendable.",27-02-2022,POSITIVE,0.98338782787323
308-5466,"Mississauga, Canada","I found the price to be mediocre, which is worth mentioning.",11-01-2021,NEGATIVE,0.9826923608779907
619-8367,"Hamilton, Canada","service was top-notch, I will be coming back again.",03-04-2021,POSITIVE,0.9976142644882202
599-9348,"Montreal, Canada","The menu variety was impressive, really made my day!",20-06-2021,POSITIVE,0.9998639822006226
110-6239,"North York, Canada","The vegan burger was mediocre, just like you'd expect at a good restaurant.",03-08-2022,NEGATIVE,0.9685850143432617
535-5517,"Barrie, Canada","The vegan burger was excellent, just like you'd expect at a good restaurant.",03-10-2022,POSITIVE,0.9998108744621277
236-4013,"North York, Canada","The staff were helpful and courteous, which leaves a lot to be desired.",05-08-2022,NEGATIVE,0.9807111620903015
822-6904,"Montreal, Canada","price was top-notch, I will be coming back again.",11-04-2021,POSITIVE,0.9988916516304016
188-3223,"Toronto, Canada","The staff were rude, which puts a damper on the meal.",27-07-2021,NEGATIVE,0.997177004814148
790-4674,"Hamilton, Canada","The atmosphere is disappointing, it puts a damper on the meal when you dine.",29-04-2021,NEGATIVE,0.9989838004112244
628-9939,"North York, Canada",It's mediocre how the restaurant manages to keep such high standards.,01-05-2022,NEGATIVE,0.9993466734886169
584-5089,"Mississauga, Canada","ambience was top-notch, I would recommend to my friends.",30-11-2021,POSITIVE,0.9998075366020203
243-1587,"Barrie, Canada",I felt that the menu variety could be more amazing.,01-01-2022,POSITIVE,0.9737040996551514
151-9190,"Montreal, Canada",It's amazing how the restaurant manages to retain a loyal clientele.,15-04-2022,POSITIVE,0.9998823404312134
427-5828,"Montreal, Canada","The seafood platter was excellent, just like you'd expect at a good restaurant.",29-10-2021,POSITIVE,0.9998506307601929
894-8941,"Barrie, Canada",I felt that the service could be more impressive.,11-09-2021,POSITIVE,0.9947590231895447
352-6719,"Montreal, Canada","The atmosphere is mediocre, it puts a damper on the meal when you dine.",09-04-2022,NEGATIVE,0.9979221224784851
214-3429,"Toronto, Canada",I felt that the menu variety could be more disappointing.,01-10-2021,NEGATIVE,0.9996868371963501
869-8796,"Richmond Hill, Canada","Having live music is great, it adds a lot of convenience.",23-05-2022,POSITIVE,0.9998596906661987
883-4809,"Calgary, Canada","Having outdoor seating is great, it adds a lot of convenience.",19-03-2022,POSITIVE,0.9998440742492676
725-8394,"Toronto, Canada","Having outdoor seating is great, it adds a lot of convenience.",23-07-2022,POSITIVE,0.9998440742492676
694-9681,"Toronto, Canada","The staff were welcoming, which leaves a lot to be desired.",10-03-2022,NEGATIVE,0.9874502420425415
453-4303,"Mississauga, Canada","The service was impressive, really made my day!",05-11-2021,POSITIVE,0.9998716115951538
444-1841,"Mississauga, Canada","Having valet parking is great, it makes me want to come back.",24-06-2021,POSITIVE,0.9977499842643738
607-9318,"Markham, Canada","ambience was top-notch, that deserves praise.",22-03-2021,POSITIVE,0.9997106194496155
685-8048,"Hamilton, Canada","The ambience was lacking, really made my day!",17-02-2021,NEGATIVE,0.9996026158332825
153-5337,"Markham, Canada","The staff were indifferent, which leaves a lot to be desired.",22-12-2022,NEGATIVE,0.9997425675392151
423-7055,"Mississauga, Canada","The seafood platter was lacking, just like you'd expect at a good restaurant.",27-03-2022,NEGATIVE,0.9980760812759399
799-5565,"Barrie, Canada","ambience was top-notch, that deserves praise.",05-07-2021,POSITIVE,0.9997106194496155
286-4655,"Barrie, Canada","Having live music is great, it is a unique touch.",26-02-2021,POSITIVE,0.9998883008956909
556-3516,"North York, Canada","Having an online reservation system is great, it is a unique touch.",11-04-2022,POSITIVE,0.9998608827590942
536-7238,"Vancouver, Canada","The menu variety was excellent, really made my day!",12-01-2022,POSITIVE,0.9998636245727539
810-4701,"Vancouver, Canada","price was top-notch, I will be coming back again.",20-06-2021,POSITIVE,0.9988916516304016
704-6752,"Toronto, Canada","The staff were rude, which enhances the dining experience.",20-03-2022,POSITIVE,0.9983187913894653
529-2294,"Richmond Hill, Canada",I felt that the price could be more excellent.,21-03-2022,NEGATIVE,0.9823895692825317
881-4999,"Markham, Canada","The staff were indifferent, which puts a damper on the meal.",23-02-2021,NEGATIVE,0.998421311378479
235-4059,"Calgary, Canada","The menu variety was disappointing, really made my day!",21-08-2021,NEGATIVE,0.9997708201408386
507-2627,"Toronto, Canada","price was top-notch, I will be coming back again.",22-09-2021,POSITIVE,0.9988916516304016
157-7743,"Hamilton, Canada","The homemade pasta was lacking, just like you'd expect at a good restaurant.",01-12-2022,NEGATIVE,0.9988142251968384
541-6321,"Richmond Hill, Canada","service was top-notch, I will be coming back again.",26-02-2021,POSITIVE,0.9976142644882202
962-7042,"Richmond Hill, Canada","The menu variety was mediocre, really made my day!",18-03-2021,NEGATIVE,0.9984108209609985
156-1794,"Hamilton, Canada","The vegan burger was lacking, just like you'd expect at a good restaurant.",14-06-2022,NEGATIVE,0.9983310103416443
172-5708,"Calgary, Canada","The staff were rude, which puts a damper on the meal.",04-01-2021,NEGATIVE,0.997177004814148
447-5576,"Markham, Canada","The atmosphere is excellent, it puts a damper on the meal when you dine.",14-04-2022,POSITIVE,0.9996559619903564
935-9123,"Calgary, Canada","Having valet parking is great, it makes me want to come back.",23-08-2022,POSITIVE,0.9977499842643738
509-9566,"Markham, Canada","The rib-eye steak was disappointing, just like you'd expect at a good restaurant.",09-12-2022,NEGATIVE,0.9931027889251709
889-4263,"Mississauga, Canada",I felt that the food quality could be more lacking.,25-07-2022,NEGATIVE,0.9994675517082214
321-2171,"Montreal, Canada","A bit disappointed with the menu variety, was expecting something more amazing.",20-02-2021,NEGATIVE,0.9858514666557312
123-3221,"Markham, Canada","I found the service to be impressive, which is something I value.",15-02-2022,POSITIVE,0.9998524188995361
438-3343,"Hamilton, Canada","Having an online reservation system is great, it adds a lot of convenience.",16-07-2022,POSITIVE,0.9997158646583557
747-6809,"Markham, Canada","The staff were indifferent, which leaves a lot to be desired.",11-05-2022,NEGATIVE,0.9997425675392151
978-3085,"Calgary, Canada","price was top-notch, I will be coming back again.",27-03-2022,POSITIVE,0.9988916516304016
401-4472,"Richmond Hill, Canada","The staff were helpful and courteous, which leaves a lot to be desired.",03-01-2022,NEGATIVE,0.9807111620903015
255-6118,"Toronto, Canada","I found the price to be excellent, which is something I value.",01-11-2021,POSITIVE,0.9997115731239319
801-8325,"Markham, Canada","The ambience was excellent, really made my day!",23-04-2021,POSITIVE,0.9998782873153687
436-8761,"Montreal, Canada","The menu variety was excellent, really made my day!",21-03-2021,POSITIVE,0.9998636245727539
757-8605,"North York, Canada","A bit disappointed with the service, was expecting something more impressive.",04-07-2022,NEGATIVE,0.9524822235107422
407-1931,"Vancouver, Canada","A bit disappointed with the ambience, was expecting something more mediocre.",17-09-2022,NEGATIVE,0.9996451139450073
199-4667,"Mississauga, Canada","The vegan burger was mediocre, just like you'd expect at a good restaurant.",25-02-2021,NEGATIVE,0.9685850143432617
894-8224,"Hamilton, Canada","The food quality was disappointing, really made my day!",17-10-2021,NEGATIVE,0.9997619986534119
804-1753,"Markham, Canada","The food quality was amazing, really made my day!",06-05-2022,POSITIVE,0.9998860359191895
519-2813,"Richmond Hill, Canada","The staff were rude, which enhances the dining experience.",24-09-2021,POSITIVE,0.9983187913894653
329-6699,"North York, Canada","I found the ambience to be disappointing, which is something I value.",06-05-2021,POSITIVE,0.9196363091468811
131-1400,"Barrie, Canada","The atmosphere is disappointing, it leaves a lot to be desired when you dine.",07-08-2022,NEGATIVE,0.9997001886367798
961-8518,"Markham, Canada","A bit disappointed with the food quality, was expecting something more amazing.",22-07-2022,NEGATIVE,0.9787290096282959
670-1335,"Montreal, Canada","Having outdoor seating is great, it is a unique touch.",19-10-2022,POSITIVE,0.9998788833618164
183-2733,"Toronto, Canada","A bit disappointed with the service, was expecting something more mediocre.",30-08-2021,NEGATIVE,0.9997335076332092
212-4318,"Toronto, Canada","Having an online reservation system is great, it is a unique touch.",28-07-2021,POSITIVE,0.9998608827590942
940-9526,"Calgary, Canada","The menu variety was excellent, really made my day!",10-10-2021,POSITIVE,0.9998636245727539
761-7762,"Toronto, Canada","service was top-notch, I would recommend to my friends.",22-05-2022,POSITIVE,0.9997715353965759
707-5296,"Calgary, Canada","The menu variety was impressive, really made my day!",14-09-2022,POSITIVE,0.9998639822006226
835-8768,"North York, Canada","Having live music is great, it makes me want to come back.",27-04-2021,POSITIVE,0.9996114373207092
254-7958,"Montreal, Canada","I found the ambience to be impressive, which is commendable.",14-06-2022,POSITIVE,0.9998399019241333
619-1626,"Calgary, Canada","The rib-eye steak was impressive, just like you'd expect at a good restaurant.",09-11-2022,POSITIVE,0.9998026490211487
765-1425,"North York, Canada","The food quality was disappointing, really made my day!",12-08-2022,NEGATIVE,0.9997619986534119
546-2842,"Toronto, Canada","Having live music is great, it makes me want to come back.",16-10-2022,POSITIVE,0.9996114373207092
495-3043,"Mississauga, Canada",I felt that the ambience could be more impressive.,07-01-2022,POSITIVE,0.9942997694015503
170-9305,"Hamilton, Canada","The menu variety was disappointing, really made my day!",09-06-2021,NEGATIVE,0.9997708201408386
154-1158,"Mississauga, Canada","A bit disappointed with the ambience, was expecting something more lacking.",23-07-2022,NEGATIVE,0.9996377229690552
760-3944,"Mississauga, Canada","A bit disappointed with the ambience, was expecting something more mediocre.",21-06-2022,NEGATIVE,0.9996451139450073
507-3260,"Mississauga, Canada","A bit disappointed with the price, was expecting something more disappointing.",01-05-2022,NEGATIVE,0.9996732473373413
931-5560,"Markham, Canada","The rib-eye steak was mediocre, just like you'd expect at a good restaurant.",04-02-2022,NEGATIVE,0.9862870573997498
716-5151,"Montreal, Canada","Having outdoor seating is great, it adds a lot of convenience.",26-02-2021,POSITIVE,0.9998440742492676
353-9843,"Mississauga, Canada","The staff were helpful and courteous, which puts a damper on the meal.",20-04-2022,POSITIVE,0.9295772314071655
358-6633,"North York, Canada","The staff were rude, which leaves a lot to be desired.",12-11-2022,NEGATIVE,0.9997267127037048
427-6422,"Richmond Hill, Canada","A bit disappointed with the price, was expecting something more amazing.",20-08-2021,NEGATIVE,0.961464524269104
740-6790,"Toronto, Canada","The homemade pasta was excellent, just like you'd expect at a good restaurant.",18-02-2021,POSITIVE,0.9998397827148438
723-1695,"North York, Canada","The food quality was amazing, really made my day!",01-02-2021,POSITIVE,0.9998860359191895
262-8557,"Toronto, Canada","Having outdoor seating is great, it makes me want to come back.",05-07-2021,POSITIVE,0.9991706609725952
974-4754,"Richmond Hill, Canada","The service was impressive, really made my day!",10-02-2021,POSITIVE,0.9998716115951538
827-9845,"Richmond Hill, Canada","menu variety was top-notch, I will be coming back again.",02-06-2022,POSITIVE,0.9985097050666809
343-9652,"Markham, Canada","Having an online reservation system is great, it is a unique touch.",24-10-2021,POSITIVE,0.9998608827590942
732-1010,"Hamilton, Canada","The staff were rude, which leaves a lot to be desired.",28-03-2021,NEGATIVE,0.9997267127037048
385-5389,"North York, Canada","Having outdoor seating is great, it adds a lot of convenience.",09-05-2021,POSITIVE,0.9998440742492676
933-1174,"North York, Canada",I felt that the food quality could be more mediocre.,04-03-2021,NEGATIVE,0.9996992349624634
693-9171,"Barrie, Canada","I found the food quality to be mediocre, which is worth mentioning.",10-10-2022,NEGATIVE,0.9988052845001221
312-4553,"Barrie, Canada","The staff were indifferent, which puts a damper on the meal.",13-05-2022,NEGATIVE,0.998421311378479
518-8231,"Barrie, Canada","I found the service to be amazing, which is something I value.",05-07-2021,POSITIVE,0.9998685121536255
773-3135,"Barrie, Canada","The staff were indifferent, which leaves a lot to be desired.",29-06-2021,NEGATIVE,0.9997425675392151
446-7354,"Calgary, Canada",I felt that the food quality could be more lacking.,26-02-2022,NEGATIVE,0.9994675517082214
840-1782,"Barrie, Canada","The atmosphere is lacking, it puts a damper on the meal when you dine.",07-08-2022,NEGATIVE,0.999017596244812
969-4946,"Vancouver, Canada","I found the service to be mediocre, which is something I value.",23-02-2021,POSITIVE,0.5473962426185608
268-4287,"Markham, Canada","The atmosphere is impressive, it leaves a lot to be desired when you dine.",11-07-2022,NEGATIVE,0.740973174571991
922-5753,"Mississauga, Canada",I felt that the menu variety could be more disappointing.,13-06-2021,NEGATIVE,0.9996868371963501
834-6714,"Vancouver, Canada","A bit disappointed with the price, was expecting something more mediocre.",13-10-2021,NEGATIVE,0.9996600151062012
137-8047,"Calgary, Canada","The ambience was amazing, really made my day!",26-03-2021,POSITIVE,0.9998871088027954
851-4186,"Toronto, Canada","The staff were helpful and courteous, which leaves a lot to be desired.",16-11-2022,NEGATIVE,0.9807111620903015
137-8871,"Calgary, Canada","Having outdoor seating is great, it adds a lot of convenience.",30-05-2022,POSITIVE,0.9998440742492676
530-8717,"Calgary, Canada","menu variety was top-notch, I would recommend to my friends.",22-08-2021,POSITIVE,0.999599277973175
483-1875,"Montreal, Canada","The atmosphere is mediocre, it leaves a lot to be desired when you dine.",09-05-2022,NEGATIVE,0.9996678829193115
346-7269,"Toronto, Canada","food quality was top-notch, that deserves praise.",03-05-2021,POSITIVE,0.9997196793556213
159-4671,"Markham, Canada","A bit disappointed with the ambience, was expecting something more disappointing.",07-02-2021,NEGATIVE,0.9996769428253174
718-6727,"Markham, Canada","The homemade pasta was lacking, just like you'd expect at a good restaurant.",16-12-2022,NEGATIVE,0.9988142251968384
997-3156,"Markham, Canada","A bit disappointed with the menu variety, was expecting something more excellent.",03-02-2021,NEGATIVE,0.9878568649291992
266-8641,"Calgary, Canada",I felt that the ambience could be more amazing.,25-11-2022,POSITIVE,0.9976504445075989
677-4937,"Richmond Hill, Canada",It's amazing how the restaurant manages to keep such high standards.,23-10-2021,POSITIVE,0.9998801946640015
101-2365,"Barrie, Canada","Having an online reservation system is great, it adds a lot of convenience.",27-05-2021,POSITIVE,0.9997158646583557
733-6882,"Montreal, Canada","The staff were rude, which enhances the dining experience.",30-03-2021,POSITIVE,0.9983187913894653
718-9642,"Vancouver, Canada","The atmosphere is disappointing, it puts a damper on the meal when you dine.",22-03-2021,NEGATIVE,0.9989838004112244
266-3685,"Calgary, Canada","Having outdoor seating is great, it is a unique touch.",31-07-2022,POSITIVE,0.9998788833618164
903-7868,"Richmond Hill, Canada","The atmosphere is excellent, it leaves a lot to be desired when you dine.",07-04-2021,POSITIVE,0.5452030897140503
606-6130,"Hamilton, Canada",I felt that the service could be more lacking.,02-04-2022,NEGATIVE,0.9988563060760498
668-8135,"Montreal, Canada","The rib-eye steak was excellent, just like you'd expect at a good restaurant.",19-11-2021,POSITIVE,0.9997963309288025
298-3613,"Richmond Hill, Canada",It's mediocre how the restaurant manages to retain a loyal clientele.,14-04-2022,NEGATIVE,0.9992170333862305
490-8697,"Vancouver, Canada","The service was lacking, really made my day!",15-11-2022,NEGATIVE,0.9995104074478149
166-7873,"Toronto, Canada","The vegan burger was disappointing, just like you'd expect at a good restaurant.",19-12-2021,NEGATIVE,0.997292697429657
638-1428,"Richmond Hill, Canada","A bit disappointed with the price, was expecting something more mediocre.",21-11-2021,NEGATIVE,0.9996600151062012
518-2776,"Vancouver, Canada","I found the service to be lacking, which is disappointing to see.",02-08-2021,NEGATIVE,0.9997972846031189
191-5586,"Montreal, Canada","A bit disappointed with the ambience, was expecting something more amazing.",02-03-2021,NEGATIVE,0.8618274927139282
343-7844,"Markham, Canada","menu variety was top-notch, I will be coming back again.",03-01-2021,POSITIVE,0.9985097050666809
701-9971,"North York, Canada","The atmosphere is lacking, it puts a damper on the meal when you dine.",17-05-2022,NEGATIVE,0.999017596244812
747-3078,"Montreal, Canada",It's mediocre how the restaurant manages to retain a loyal clientele.,30-09-2022,NEGATIVE,0.9992170333862305
457-1413,"Barrie, Canada","The atmosphere is disappointing, it enhances the dining experience when you dine.",16-06-2022,POSITIVE,0.9974265694618225
831-3717,"Toronto, Canada",I felt that the service could be more lacking.,02-12-2022,NEGATIVE,0.9988563060760498
104-1080,"Toronto, Canada","I found the food quality to be amazing, which is commendable.",17-05-2022,POSITIVE,0.9998745918273926
836-9189,"North York, Canada","I found the service to be lacking, which is commendable.",18-01-2022,NEGATIVE,0.9874607920646667
746-4031,"Vancouver, Canada","The rib-eye steak was impressive, just like you'd expect at a good restaurant.",13-01-2022,POSITIVE,0.9998026490211487
332-2001,"Mississauga, Canada","The seafood platter was amazing, just like you'd expect at a good restaurant.",06-03-2022,POSITIVE,0.9998677968978882
764-3224,"Hamilton, Canada","service was top-notch, I would recommend to my friends.",29-04-2022,POSITIVE,0.9997715353965759
712-7984,"Montreal, Canada","The atmosphere is disappointing, it leaves a lot to be desired when you dine.",09-03-2022,NEGATIVE,0.9997001886367798
683-4315,"Richmond Hill, Canada","Having an online reservation system is great, it is a unique touch.",08-09-2021,POSITIVE,0.9998608827590942
669-3153,"Markham, Canada","The food quality was lacking, really made my day!",23-08-2022,NEGATIVE,0.999777615070343
435-2011,"Richmond Hill, Canada","A bit disappointed with the service, was expecting something more impressive.",29-05-2022,NEGATIVE,0.9524822235107422
515-3777,"Mississauga, Canada","The food quality was impressive, really made my day!",21-03-2021,POSITIVE,0.9998786449432373
100-9359,"Toronto, Canada","price was top-notch, I would recommend to my friends.",02-07-2022,POSITIVE,0.9997650980949402
976-6983,"Calgary, Canada","The atmosphere is excellent, it leaves a lot to be desired when you dine.",03-11-2021,POSITIVE,0.5452030897140503
470-1346,"Barrie, Canada","The food quality was lacking, really made my day!",22-08-2022,NEGATIVE,0.999777615070343
957-9504,"Richmond Hill, Canada","The staff were rude, which puts a damper on the meal.",05-11-2022,NEGATIVE,0.997177004814148
501-2337,"Toronto, Canada","The staff were helpful and courteous, which enhances the dining experience.",04-07-2021,POSITIVE,0.9998432397842407
412-8683,"Montreal, Canada","The service was disappointing, really made my day!",23-06-2021,NEGATIVE,0.9996739625930786
394-9701,"Richmond Hill, Canada","menu variety was top-notch, I will be coming back again.",24-12-2021,POSITIVE,0.9985097050666809
102-1464,"Richmond Hill, Canada","The staff were helpful and courteous, which enhances the dining experience.",08-06-2022,POSITIVE,0.9998432397842407
968-9470,"Markham, Canada","I found the service to be mediocre, which is commendable.",30-08-2022,POSITIVE,0.933612048625946
691-7360,"Markham, Canada","The food quality was lacking, really made my day!",13-05-2022,NEGATIVE,0.999777615070343
772-2309,"Barrie, Canada","The atmosphere is disappointing, it puts a damper on the meal when you dine.",15-10-2022,NEGATIVE,0.9989838004112244
680-7418,"Mississauga, Canada","ambience was top-notch, that deserves praise.",30-06-2021,POSITIVE,0.9997106194496155
604-3738,"Vancouver, Canada","Having valet parking is great, it makes me want to come back.",11-03-2021,POSITIVE,0.9977499842643738
814-1216,"Hamilton, Canada","Having valet parking is great, it makes me want to come back.",06-04-2022,POSITIVE,0.9977499842643738
591-9969,"Mississauga, Canada","The rib-eye steak was mediocre, just like you'd expect at a good restaurant.",06-09-2021,NEGATIVE,0.9862870573997498
302-8031,"Barrie, Canada","ambience was top-notch, I will be coming back again.",08-11-2022,POSITIVE,0.9996626377105713
891-4578,"Calgary, Canada",I felt that the price could be more amazing.,27-02-2022,POSITIVE,0.9698497653007507
244-7240,"Montreal, Canada","I found the menu variety to be mediocre, which is disappointing to see.",05-11-2021,NEGATIVE,0.9997995495796204
677-9835,"Mississauga, Canada","The atmosphere is excellent, it puts a damper on the meal when you dine.",04-12-2021,POSITIVE,0.9996559619903564
351-3781,"Calgary, Canada","I found the price to be impressive, which is commendable.",27-05-2021,POSITIVE,0.9998315572738647
386-6537,"Markham, Canada","A bit disappointed with the ambience, was expecting something more lacking.",29-04-2021,NEGATIVE,0.9996377229690552
193-8460,"Hamilton, Canada","The menu variety was mediocre, really made my day!",02-05-2021,NEGATIVE,0.9984108209609985
398-4940,"Toronto, Canada","The staff were indifferent, which puts a damper on the meal.",29-11-2022,NEGATIVE,0.998421311378479
500-9043,"Markham, Canada","The staff were indifferent, which leaves a lot to be desired.",19-04-2022,NEGATIVE,0.9997425675392151
185-9284,"Hamilton, Canada","The atmosphere is excellent, it leaves a lot to be desired when you dine.",28-12-2022,POSITIVE,0.5452030897140503
857-1973,"North York, Canada",It's disappointing how the restaurant manages to keep such high standards.,18-09-2022,NEGATIVE,0.9996339082717896
185-9959,"Hamilton, Canada","A bit disappointed with the food quality, was expecting something more impressive.",19-02-2022,NEGATIVE,0.9742956757545471
368-2782,"Barrie, Canada","The seafood platter was amazing, just like you'd expect at a good restaurant.",19-03-2021,POSITIVE,0.9998677968978882
942-7494,"Calgary, Canada","The staff were rude, which leaves a lot to be desired.",03-03-2021,NEGATIVE,0.9997267127037048
420-7917,"Mississauga, Canada",It's mediocre how the restaurant manages to retain a loyal clientele.,04-09-2021,NEGATIVE,0.9992170333862305
339-6342,"Markham, Canada",I felt that the service could be more lacking.,01-02-2021,NEGATIVE,0.9988563060760498
555-1468,"Richmond Hill, Canada","The staff were rude, which puts a damper on the meal.",22-12-2022,NEGATIVE,0.997177004814148
214-4015,"Vancouver, Canada","The vegan burger was lacking, just like you'd expect at a good restaurant.",24-06-2021,NEGATIVE,0.9983310103416443
624-1511,"Toronto, Canada","A bit disappointed with the food quality, was expecting something more disappointing.",22-12-2022,NEGATIVE,0.9996964931488037
260-1421,"Mississauga, Canada","Having an online reservation system is great, it makes me want to come back.",11-01-2021,POSITIVE,0.9985986351966858
784-2020,"Montreal, Canada","The service was mediocre, really made my day!",23-05-2022,NEGATIVE,0.9990561604499817
164-6095,"Vancouver, Canada","The staff were indifferent, which puts a damper on the meal.",01-02-2021,NEGATIVE,0.998421311378479
874-3308,"Hamilton, Canada","The rib-eye steak was excellent, just like you'd expect at a good restaurant.",25-03-2021,POSITIVE,0.9997963309288025
484-6111,"Montreal, Canada","The staff were helpful and courteous, which enhances the dining experience.",28-12-2022,POSITIVE,0.9998432397842407
157-1489,"Barrie, Canada",I felt that the price could be more amazing.,07-09-2022,POSITIVE,0.9698497653007507
456-7536,"Calgary, Canada","Having an online reservation system is great, it is a unique touch.",12-09-2022,POSITIVE,0.9998608827590942
489-4046,"Toronto, Canada",I felt that the price could be more excellent.,04-05-2022,NEGATIVE,0.9823895692825317
660-4918,"Markham, Canada","menu variety was top-notch, that deserves praise.",07-09-2022,POSITIVE,0.999578058719635
469-1731,"Markham, Canada",I felt that the service could be more excellent.,13-06-2022,NEGATIVE,0.9116276502609253
244-5108,"Calgary, Canada","Having valet parking is great, it is a unique touch.",12-06-2022,POSITIVE,0.9998635053634644
806-4065,"Markham, Canada","The rib-eye steak was amazing, just like you'd expect at a good restaurant.",16-03-2022,POSITIVE,0.9998396635055542
520-5403,"North York, Canada","The staff were welcoming, which leaves a lot to be desired.",08-06-2022,NEGATIVE,0.9874502420425415
171-1243,"Vancouver, Canada","The staff were welcoming, which enhances the dining experience.",11-04-2021,POSITIVE,0.9998548030853271
962-9392,"Barrie, Canada","price was top-notch, I will be coming back again.",20-04-2021,POSITIVE,0.9988916516304016
688-2421,"Barrie, Canada","The homemade pasta was mediocre, just like you'd expect at a good restaurant.",19-07-2022,NEGATIVE,0.9833232760429382
407-3417,"Montreal, Canada","The homemade pasta was mediocre, just like you'd expect at a good restaurant.",19-04-2021,NEGATIVE,0.9833232760429382
111-2912,"Mississauga, Canada","The staff were welcoming, which leaves a lot to be desired.",17-08-2021,NEGATIVE,0.9874502420425415
220-4476,"North York, Canada","The atmosphere is disappointing, it leaves a lot to be desired when you dine.",25-07-2021,NEGATIVE,0.9997001886367798
522-4600,"Mississauga, Canada","Having outdoor seating is great, it makes me want to come back.",02-02-2022,POSITIVE,0.9991706609725952
160-6011,"Montreal, Canada","Having outdoor seating is great, it adds a lot of convenience.",18-07-2022,POSITIVE,0.9998440742492676
843-1249,"Barrie, Canada","Having outdoor seating is great, it makes me want to come back.",07-10-2021,POSITIVE,0.9991706609725952
524-2344,"Calgary, Canada","The homemade pasta was disappointing, just like you'd expect at a good restaurant.",21-01-2022,NEGATIVE,0.998489260673523
870-2471,"Calgary, Canada","Having outdoor seating is great, it adds a lot of convenience.",09-10-2022,POSITIVE,0.9998440742492676
241-8600,"Barrie, Canada","A bit disappointed with the price, was expecting something more excellent.",09-04-2021,NEGATIVE,0.9733395576477051
896-6241,"Barrie, Canada","I found the food quality to be impressive, which is something I value.",05-01-2021,POSITIVE,0.9998725652694702
415-9728,"Calgary, Canada","The homemade pasta was lacking, just like you'd expect at a good restaurant.",19-10-2022,NEGATIVE,0.9988142251968384
921-8009,"Mississauga, Canada",I felt that the ambience could be more lacking.,19-09-2021,NEGATIVE,0.9986956715583801
305-1679,"Richmond Hill, Canada","I found the food quality to be impressive, which is something I value.",23-08-2021,POSITIVE,0.9998725652694702
367-7723,"Barrie, Canada","The staff were rude, which leaves a lot to be desired.",22-05-2022,NEGATIVE,0.9997267127037048
312-7547,"Calgary, Canada","The rib-eye steak was lacking, just like you'd expect at a good restaurant.",17-05-2022,NEGATIVE,0.9960426092147827
728-4015,"Hamilton, Canada","The atmosphere is disappointing, it leaves a lot to be desired when you dine.",16-05-2022,NEGATIVE,0.9997001886367798
865-2566,"Markham, Canada","Having an online reservation system is great, it is a unique touch.",17-09-2022,POSITIVE,0.9998608827590942
768-3991,"Mississauga, Canada",I felt that the food quality could be more excellent.,07-06-2021,NEGATIVE,0.9746831059455872
